c,i0,p2h,gate,unt,arr_d,flujo04,untreated,treated,adult,child,mape_t5,mape_f8,max_err
2.550,3000,0.0130,0.007177,0.010527,224.36,4990.5,49.0,18.0,33.0,2.0,5.983,9.498,9.498
2.550,3000,0.0140,0.006822,0.010003,236.00,5278.2,53.0,17.0,32.0,2.0,4.599,11.913,11.913
2.550,3000,0.0150,0.006517,0.009553,247.09,5554.0,50.0,18.0,34.0,2.0,5.768,17.063,17.063
2.550,3200,0.0070,0.010763,0.015844,149.59,3161.1,53.0,17.0,33.0,2.0,3.848,34.059,34.059
2.550,3200,0.0080,0.009725,0.014302,165.55,3548.5,52.0,17.0,32.0,2.0,4.114,25.908,25.908
2.550,3200,0.0085,0.009292,0.013658,173.27,3736.6,52.0,17.0,31.0,2.0,4.864,21.942,21.942
2.550,3200,0.0090,0.008902,0.013079,180.86,3921.0,51.0,16.0,33.0,2.0,1.869,18.049,18.049
2.550,3200,0.0095,0.008553,0.012563,188.23,4101.9,52.0,17.0,32.0,2.0,4.114,14.227,14.227
2.550,3200,0.0100,0.008235,0.012092,195.50,4279.3,50.0,17.0,34.0,2.0,4.196,10.475,10.475
2.550,3200,0.0110,0.007685,0.011278,209.55,4623.5,51.0,17.0,33.0,2.0,3.441,7.692,7.692
2.550,3200,0.0120,0.007220,0.010590,223.00,4954.2,53.0,16.0,32.0,2.0,3.026,8.746,8.746
2.550,3200,0.0130,0.006827,0.010011,235.82,5271.7,52.0,18.0,33.0,2.0,4.936,11.254,11.254
2.550,3200,0.0140,0.006490,0.009512,248.09,5576.3,51.0,18.0,33.0,2.0,5.014,17.125,17.125
2.550,3200,0.0150,0.006197,0.009080,259.82,5868.6,51.0,17.0,33.0,2.0,3.441,23.387,23.387
2.550,3400,0.0070,0.010305,0.015164,156.23,3323.8,53.0,17.0,33.0,2.0,3.848,30.807,30.807
2.550,3400,0.0080,0.009306,0.013680,173.00,3731.6,51.0,17.0,32.0,2.0,4.192,22.245,22.245
2.550,3400,0.0085,0.008888,0.013060,181.14,3929.7,51.0,16.0,32.0,2.0,2.619,18.079,18.079
2.550,3400,0.0090,0.008514,0.012506,189.09,4124.0,51.0,16.0,33.0,2.0,1.869,13.988,13.988
2.550,3400,0.0095,0.008176,0.012005,196.91,4314.6,51.0,17.0,32.0,2.0,4.192,9.972,9.972
2.550,3400,0.0100,0.007871,0.011553,204.50,4501.4,52.0,17.0,33.0,2.0,3.364,7.859,7.859
2.550,3400,0.0110,0.007339,0.010767,219.32,4864.2,52.0,17.0,32.0,2.0,4.114,7.725,7.725
2.550,3400,0.0120,0.006898,0.010115,233.45,5212.9,52.0,17.0,33.0,2.0,3.364,9.924,9.924
2.550,3400,0.0130,0.006519,0.009556,247.00,5547.7,50.0,18.0,34.0,2.0,5.768,16.150,16.150
2.550,3400,0.0140,0.006192,0.009074,259.95,5869.1,52.0,17.0,31.0,2.0,4.864,23.000,23.000
2.550,3400,0.0150,0.005912,0.008661,272.32,6177.5,52.0,17.0,33.0,2.0,3.364,29.591,29.591
2.550,3600,0.0070,0.009891,0.014548,162.77,3483.4,52.0,16.0,32.0,2.0,2.542,27.619,27.619
2.550,3600,0.0080,0.008926,0.013116,180.32,3911.3,52.0,16.0,32.0,2.0,2.542,18.653,18.653
2.550,3600,0.0085,0.008525,0.012521,188.86,4119.2,51.0,16.0,32.0,2.0,2.619,14.290,14.290
2.550,3600,0.0090,0.008161,0.011983,197.27,4323.2,51.0,17.0,33.0,1.0,15.346,10.005,15.346
2.550,3600,0.0095,0.007838,0.011504,205.41,4523.2,52.0,18.0,33.0,2.0,4.936,7.684,7.684
2.550,3600,0.0100,0.007544,0.011070,213.36,4719.4,52.0,17.0,33.0,2.0,3.364,7.176,7.176
2.550,3600,0.0110,0.007032,0.010313,228.95,5100.5,51.0,17.0,32.0,2.0,4.192,8.686,8.686
2.550,3600,0.0120,0.006603,0.009680,243.77,5466.8,52.0,18.0,33.0,2.0,4.936,14.120,14.120
2.550,3600,0.0130,0.006240,0.009144,258.00,5818.7,52.0,17.0,33.0,2.0,3.364,21.581,21.581
2.550,3600,0.0140,0.005928,0.008684,271.55,6156.6,51.0,17.0,33.0,2.0,3.441,28.766,28.766
2.550,3600,0.0150,0.005658,0.008287,284.59,6481.0,52.0,17.0,33.0,2.0,3.364,35.681,35.681
2.550,3800,0.0070,0.009519,0.013995,169.14,3639.9,52.0,16.0,32.0,2.0,2.542,24.489,24.489
2.550,3800,0.0080,0.008585,0.012609,187.55,4087.6,50.0,17.0,33.0,2.0,3.926,15.128,15.128
2.550,3800,0.0085,0.008195,0.012033,196.45,4305.2,51.0,17.0,33.0,2.0,3.441,10.571,10.571
2.550,3800,0.0090,0.007847,0.011517,205.18,4518.6,54.0,17.0,32.0,2.0,5.083,7.594,7.594
2.550,3800,0.0095,0.007531,0.011051,213.77,4728.0,52.0,17.0,33.0,2.0,3.364,7.044,7.044
2.550,3800,0.0100,0.007248,0.010632,222.14,4933.4,51.0,17.0,34.0,2.0,3.711,7.292,7.292
2.550,3800,0.0110,0.006756,0.009905,238.32,5332.5,50.0,17.0,33.0,2.0,3.926,11.017,11.017
2.550,3800,0.0120,0.006341,0.009293,253.91,5716.1,52.0,17.0,33.0,2.0,3.364,19.114,19.114
2.550,3800,0.0130,0.005990,0.008776,268.77,6084.9,51.0,17.0,34.0,2.0,3.711,26.915,26.915
2.550,3800,0.0140,0.005688,0.008331,283.05,6439.1,51.0,17.0,34.0,2.0,3.711,34.429,34.429
2.550,3800,0.0150,0.005428,0.007947,296.64,6779.2,51.0,16.0,33.0,2.0,1.869,41.663,41.663
2.550,4000,0.0070,0.009179,0.013490,175.41,3793.5,52.0,17.0,33.0,2.0,3.364,21.416,21.416
2.550,4000,0.0080,0.008276,0.012152,194.55,4260.6,52.0,17.0,33.0,2.0,3.364,11.666,11.666
2.550,4000,0.0085,0.007899,0.011595,203.82,4487.7,52.0,17.0,34.0,2.0,3.634,8.291,8.291
2.550,4000,0.0090,0.007560,0.011093,212.95,4710.5,53.0,18.0,33.0,2.0,5.421,6.997,6.997
2.550,4000,0.0095,0.007255,0.010643,221.86,4929.1,52.0,18.0,33.0,2.0,4.936,6.890,6.890
2.550,4000,0.0100,0.006981,0.010237,230.64,5143.5,52.0,18.0,33.0,2.0,4.936,8.114,8.114
2.550,4000,0.0110,0.006503,0.009531,247.59,5560.3,52.0,17.0,33.0,2.0,3.364,15.580,15.580
2.550,4000,0.0120,0.006103,0.008942,263.82,5961.1,51.0,17.0,33.0,2.0,3.441,24.021,24.021
2.550,4000,0.0130,0.005763,0.008441,279.36,6346.4,51.0,17.0,34.0,2.0,3.711,32.157,32.157
2.550,4000,0.0140,0.005472,0.008012,294.23,6716.7,52.0,16.0,33.0,2.0,1.791,39.994,39.994
2.550,4000,0.0150,0.005220,0.007642,308.45,7072.3,51.0,17.0,33.0,2.0,3.441,47.542,47.542
2.550,4200,0.0070,0.008871,0.013033,181.50,3944.2,51.0,17.0,33.0,2.0,3.441,18.397,18.397
2.550,4200,0.0080,0.007992,0.011732,201.45,4430.5,52.0,17.0,33.0,2.0,3.364,9.408,9.408
2.550,4200,0.0085,0.007627,0.011192,211.09,4666.9,51.0,17.0,33.0,2.0,3.441,7.034,7.034
2.550,4200,0.0090,0.007299,0.010707,220.59,4898.9,52.0,18.0,34.0,2.0,5.206,6.413,6.413
2.550,4200,0.0095,0.007004,0.010272,229.86,5126.5,51.0,17.0,33.0,2.0,3.441,7.650,7.650
2.550,4200,0.0100,0.006739,0.009880,238.95,5349.9,51.0,17.0,33.0,2.0,3.441,10.958,10.958
2.550,4200,0.0110,0.006273,0.009193,256.64,5784.1,52.0,17.0,32.0,2.0,4.114,20.064,20.064
2.550,4200,0.0120,0.005887,0.008623,273.45,6201.7,50.0,19.0,34.0,2.0,7.341,28.845,28.845
2.550,4200,0.0130,0.005558,0.008139,289.68,6603.4,50.0,18.0,34.0,2.0,5.768,37.309,37.309
2.550,4200,0.0140,0.005276,0.007723,305.18,6989.5,53.0,16.0,31.0,2.0,3.777,45.466,45.466
2.550,4200,0.0150,0.005031,0.007363,320.05,7360.4,52.0,16.0,33.0,2.0,1.791,53.323,53.323
2.550,4500,0.0070,0.008453,0.012415,190.45,4165.3,51.0,17.0,33.0,2.0,3.441,13.963,13.963
2.550,4500,0.0080,0.007612,0.011170,211.50,4679.6,51.0,17.0,33.0,2.0,3.441,7.195,7.195
2.550,4500,0.0085,0.007261,0.010651,221.73,4929.7,52.0,18.0,33.0,2.0,4.936,6.226,6.226
2.550,4500,0.0090,0.006946,0.010186,231.77,5175.2,51.0,18.0,34.0,2.0,5.284,7.416,7.416
2.550,4500,0.0095,0.006664,0.009770,241.59,5416.2,51.0,17.0,33.0,2.0,3.441,12.091,12.091
2.550,4500,0.0100,0.006410,0.009394,251.18,5652.7,52.0,18.0,33.0,2.0,4.936,17.032,17.032
2.550,4500,0.0110,0.005966,0.008740,269.86,6112.5,50.0,17.0,33.0,2.0,3.926,26.652,26.652
2.550,4500,0.0120,0.005596,0.008194,287.77,6555.0,52.0,17.0,33.0,2.0,3.364,35.932,35.932
2.550,4500,0.0130,0.005281,0.007731,304.86,6980.8,51.0,16.0,34.0,2.0,2.139,44.881,44.881
2.550,4500,0.0140,0.005011,0.007333,321.32,7390.2,51.0,16.0,33.0,2.0,1.869,53.508,53.508
2.550,4500,0.0150,0.004777,0.006991,337.00,7783.7,52.0,15.0,32.0,2.0,3.800,61.820,61.820
2.600,2800,0.0070,0.011493,0.016930,140.05,2920.8,51.0,17.0,34.0,2.0,3.711,38.989,38.989
2.600,2800,0.0080,0.010399,0.015303,154.82,3277.8,53.0,16.0,33.0,2.0,2.276,31.459,31.459
2.600,2800,0.0085,0.009938,0.014618,162.00,3451.2,53.0,16.0,31.0,2.0,3.777,27.797,27.797
2.600,2800,0.0090,0.009527,0.014006,169.00,3621.1,52.0,16.0,32.0,2.0,2.542,24.202,24.202
2.600,2800,0.0095,0.009157,0.013458,175.82,3787.7,52.0,16.0,32.0,2.0,2.542,20.674,20.674
2.600,2800,0.0100,0.008822,0.012961,182.50,3950.9,53.0,16.0,31.0,2.0,3.777,17.211,17.211
2.600,2800,0.0110,0.008235,0.012092,195.50,4267.7,51.0,16.0,33.0,2.0,1.869,11.669,11.669
2.600,2800,0.0120,0.007744,0.011365,207.91,4571.8,52.0,17.0,33.0,2.0,3.364,8.253,8.253
2.600,2800,0.0130,0.007326,0.010747,219.77,4863.6,50.0,17.0,35.0,2.0,4.946,9.129,9.129
2.600,2800,0.0140,0.006966,0.010215,231.14,5143.4,51.0,17.0,34.0,2.0,3.711,10.921,10.921
2.600,2800,0.0150,0.006654,0.009755,241.91,5411.6,51.0,17.0,33.0,2.0,3.441,14.282,14.282
2.600,3000,0.0070,0.010939,0.016106,147.14,3094.2,53.0,16.0,32.0,2.0,3.026,35.539,35.539
2.600,3000,0.0080,0.009886,0.014539,162.86,3473.1,52.0,17.0,31.0,2.0,4.864,27.573,27.573
2.600,3000,0.0085,0.009445,0.013886,170.45,3657.0,50.0,17.0,33.0,2.0,3.926,23.699,23.699
2.600,3000,0.0090,0.009054,0.013306,177.86,3837.4,51.0,17.0,33.0,2.0,3.441,19.895,19.895
2.600,3000,0.0095,0.008698,0.012778,185.09,4014.3,51.0,16.0,32.0,2.0,2.619,16.160,16.160
2.600,3000,0.0100,0.008376,0.012300,192.23,4187.6,51.0,17.0,33.0,2.0,3.441,12.495,12.495
2.600,3000,0.0110,0.007816,0.011471,206.05,4524.1,50.0,17.0,33.0,2.0,3.926,8.299,8.299
2.600,3000,0.0120,0.007345,0.010776,219.18,4847.2,53.0,16.0,32.0,2.0,3.026,8.449,8.449
2.600,3000,0.0130,0.006946,0.010186,231.77,5157.3,50.0,18.0,34.0,2.0,5.768,10.387,10.387
2.600,3000,0.0140,0.006603,0.009680,243.82,5454.9,51.0,17.0,35.0,2.0,4.462,14.462,14.462
2.600,3000,0.0150,0.006306,0.009241,255.32,5740.1,51.0,17.0,32.0,2.0,4.192,20.576,20.576
2.600,3200,0.0070,0.010442,0.015367,154.18,3264.1,52.0,17.0,33.0,2.0,3.364,32.163,32.163
2.600,3200,0.0080,0.009435,0.013871,170.68,3664.3,52.0,16.0,33.0,2.0,1.791,23.771,23.771
2.600,3200,0.0085,0.009010,0.013241,178.68,3858.7,52.0,16.0,33.0,2.0,1.791,19.688,19.688
2.600,3200,0.0090,0.008631,0.012678,186.55,4049.3,52.0,17.0,31.0,2.0,4.864,15.679,15.679
2.600,3200,0.0095,0.008289,0.012172,194.23,4236.2,51.0,16.0,33.0,2.0,1.869,11.743,11.743
2.600,3200,0.0100,0.007981,0.011716,201.73,4419.5,52.0,16.0,33.0,2.0,1.791,9.025,9.025
2.600,3200,0.0110,0.007444,0.010922,216.27,4775.3,53.0,17.0,32.0,2.0,4.599,7.487,7.487
2.600,3200,0.0120,0.006993,0.010255,230.23,5117.1,49.0,18.0,34.0,2.0,6.253,9.571,9.571
2.600,3200,0.0130,0.006611,0.009691,243.55,5445.3,51.0,18.0,33.0,2.0,5.014,13.851,13.851
2.600,3200,0.0140,0.006282,0.009206,256.27,5760.3,51.0,17.0,33.0,2.0,3.441,20.560,20.560
2.600,3200,0.0150,0.005998,0.008788,268.41,6062.4,51.0,17.0,33.0,2.0,3.441,27.016,27.016
2.600,3400,0.0070,0.010000,0.014709,161.00,3430.4,54.0,16.0,30.0,2.0,5.012,28.857,28.857
2.600,3400,0.0080,0.009027,0.013264,178.32,3851.6,51.0,17.0,33.0,2.0,3.441,20.047,20.047
2.600,3400,0.0085,0.008620,0.012662,186.77,4056.2,51.0,16.0,32.0,2.0,2.619,15.760,15.760
2.600,3400,0.0090,0.008256,0.012123,195.00,4256.9,51.0,17.0,33.0,2.0,3.441,11.550,11.550
2.600,3400,0.0095,0.007927,0.011637,203.05,4453.7,52.0,17.0,33.0,2.0,3.364,8.188,8.188
2.600,3400,0.0100,0.007630,0.011197,211.00,4646.7,53.0,16.0,32.0,2.0,3.026,7.234,7.234
2.600,3400,0.0110,0.007114,0.010434,226.27,5021.6,52.0,17.0,33.0,2.0,3.364,8.482,8.482
2.600,3400,0.0120,0.006683,0.009798,240.91,5381.8,49.0,18.0,34.0,2.0,6.253,12.152,12.152
2.600,3400,0.0130,0.006314,0.009253,255.00,5727.8,51.0,17.0,33.0,2.0,3.441,19.481,19.481
2.600,3400,0.0140,0.005998,0.008788,268.41,6060.0,51.0,17.0,33.0,2.0,3.441,26.538,26.538
2.600,3400,0.0150,0.005724,0.008383,281.27,6378.7,52.0,18.0,34.0,2.0,5.206,33.329,33.329
2.600,3600,0.0070,0.009604,0.014122,167.64,3593.4,52.0,16.0,32.0,2.0,2.542,25.617,25.617
2.600,3600,0.0080,0.008662,0.012725,185.86,4035.2,53.0,16.0,30.0,2.0,4.527,16.397,16.397
2.600,3600,0.0085,0.008270,0.012143,194.68,4249.8,50.0,18.0,35.0,2.0,6.519,11.909,11.909
2.600,3600,0.0090,0.007920,0.011626,203.27,4460.4,52.0,16.0,32.0,2.0,2.542,7.682,7.682
2.600,3600,0.0095,0.007602,0.011156,211.77,4667.0,53.0,18.0,33.0,2.0,5.421,7.057,7.057
2.600,3600,0.0100,0.007315,0.010731,220.09,4869.6,52.0,16.0,33.0,2.0,1.791,7.130,7.130
2.600,3600,0.0110,0.006818,0.009997,236.18,5263.1,51.0,17.0,33.0,2.0,3.441,9.925,9.925
2.600,3600,0.0120,0.006400,0.009381,251.55,5641.4,49.0,17.0,35.0,2.0,5.431,17.323,17.323
2.600,3600,0.0130,0.006047,0.008860,266.23,6004.9,52.0,17.0,33.0,2.0,3.364,25.004,25.004
2.600,3600,0.0140,0.005743,0.008411,280.36,6354.0,50.0,18.0,35.0,2.0,6.519,32.401,32.401
2.600,3600,0.0150,0.005479,0.008022,293.86,6689.1,51.0,18.0,34.0,2.0,5.284,39.522,39.522
2.600,3800,0.0070,0.009243,0.013586,174.18,3753.2,53.0,17.0,32.0,2.0,4.599,22.440,22.440
2.600,3800,0.0080,0.008332,0.012236,193.23,4215.1,51.0,17.0,33.0,2.0,3.441,12.817,12.817
2.600,3800,0.0085,0.007954,0.011676,202.41,4439.7,53.0,16.0,32.0,2.0,3.026,8.182,8.182
2.600,3800,0.0090,0.007614,0.011173,211.41,4660.0,51.0,17.0,33.0,2.0,3.441,6.969,6.969
2.600,3800,0.0095,0.007308,0.010720,220.32,4876.1,53.0,17.0,33.0,2.0,3.848,6.756,6.756
2.600,3800,0.0100,0.007029,0.010309,229.00,5088.1,50.0,17.0,33.0,2.0,3.926,7.976,7.976
2.600,3800,0.0110,0.006551,0.009602,245.73,5500.0,51.0,16.0,32.0,2.0,2.619,14.068,14.068
2.600,3800,0.0120,0.006147,0.009007,261.86,5896.2,50.0,17.0,34.0,2.0,4.196,22.397,22.397
2.600,3800,0.0130,0.005807,0.008505,277.27,6276.9,51.0,16.0,34.0,2.0,2.139,30.424,30.424
2.600,3800,0.0140,0.005513,0.008073,292.00,6642.7,52.0,16.0,33.0,2.0,1.791,38.156,38.156
2.600,3800,0.0150,0.005260,0.007700,306.09,6994.0,52.0,15.0,33.0,2.0,3.049,45.601,45.601
2.600,4000,0.0070,0.008917,0.013103,180.55,3909.8,53.0,17.0,32.0,2.0,4.599,19.321,19.321
2.600,4000,0.0080,0.008037,0.011799,200.32,4391.6,52.0,17.0,32.0,2.0,4.114,9.303,9.303
2.600,4000,0.0085,0.007668,0.011253,209.95,4625.8,52.0,17.0,33.0,2.0,3.364,6.972,6.972
2.600,4000,0.0090,0.007338,0.010765,219.41,4855.7,53.0,17.0,33.0,2.0,3.848,6.349,6.349
2.600,4000,0.0095,0.007042,0.010327,228.64,5081.2,50.0,18.0,33.0,2.0,5.498,7.536,7.536
2.600,4000,0.0100,0.006774,0.009931,237.68,5302.5,50.0,17.0,34.0,2.0,4.196,9.699,9.699
2.600,4000,0.0110,0.006309,0.009246,255.18,5732.5,50.0,17.0,33.0,2.0,3.926,18.700,18.700
2.600,4000,0.0120,0.005919,0.008671,272.00,6146.2,52.0,17.0,32.0,2.0,4.114,27.379,27.379
2.600,4000,0.0130,0.005589,0.008184,288.09,6543.9,52.0,17.0,32.0,2.0,4.114,35.746,35.746
2.600,4000,0.0140,0.005305,0.007766,303.45,6926.2,51.0,16.0,33.0,2.0,1.869,43.808,43.808
2.600,4000,0.0150,0.005059,0.007405,318.23,7293.3,51.0,18.0,33.0,2.0,5.014,51.573,51.573
2.600,4200,0.0070,0.008618,0.012659,186.82,4063.5,51.0,16.0,32.0,2.0,2.619,16.259,16.259
2.600,4200,0.0080,0.007764,0.011395,207.41,4564.8,52.0,17.0,33.0,2.0,3.364,7.672,7.672
2.600,4200,0.0085,0.007405,0.010864,217.41,4808.5,51.0,17.0,33.0,2.0,3.441,6.396,6.396
2.600,4200,0.0090,0.007087,0.010394,227.14,5047.8,50.0,18.0,34.0,2.0,5.768,6.980,6.980
2.600,4200,0.0095,0.006800,0.009970,236.77,5282.6,50.0,18.0,35.0,2.0,6.519,9.088,9.088
2.600,4200,0.0100,0.006540,0.009586,246.18,5513.0,52.0,17.0,32.0,2.0,4.114,13.893,13.893
2.600,4200,0.0110,0.006088,0.008920,264.41,5960.8,50.0,17.0,34.0,2.0,4.196,23.250,23.250
2.600,4200,0.0120,0.005711,0.008364,281.91,6391.7,51.0,17.0,33.0,2.0,3.441,32.275,32.275
2.600,4200,0.0130,0.005390,0.007892,298.68,6806.1,51.0,17.0,33.0,2.0,3.441,40.976,40.976
2.600,4200,0.0140,0.005116,0.007488,314.73,7204.6,51.0,17.0,34.0,2.0,3.711,49.362,49.362
2.600,4200,0.0150,0.004877,0.007138,330.09,7587.4,52.0,16.0,32.0,2.0,2.542,57.441,57.441
2.600,4500,0.0070,0.008216,0.012064,195.91,4288.5,51.0,17.0,33.0,2.0,3.441,11.765,11.765
2.600,4500,0.0080,0.007396,0.010851,217.68,4818.5,51.0,17.0,34.0,2.0,3.711,6.271,6.271
2.600,4500,0.0085,0.007053,0.010344,228.23,5076.2,51.0,18.0,33.0,2.0,5.014,6.633,6.633
2.600,4500,0.0090,0.006749,0.009895,238.59,5329.3,50.0,19.0,33.0,2.0,7.071,9.816,9.816
2.600,4500,0.0095,0.006474,0.009489,248.73,5577.7,50.0,17.0,34.0,2.0,4.196,14.979,14.979
2.600,4500,0.0100,0.006224,0.009120,258.68,5821.4,52.0,17.0,33.0,2.0,3.364,20.052,20.052
2.600,4500,0.0110,0.005792,0.008484,277.95,6295.4,54.0,16.0,32.0,2.0,3.511,29.931,29.931
2.600,4500,0.0120,0.005433,0.007954,296.41,6751.7,51.0,17.0,34.0,2.0,3.711,39.463,39.463
2.600,4500,0.0130,0.005125,0.007502,314.14,7190.8,52.0,17.0,33.0,2.0,3.364,48.656,48.656
2.600,4500,0.0140,0.004862,0.007115,331.14,7613.1,51.0,16.0,33.0,2.0,1.869,57.519,57.519
2.600,4500,0.0150,0.004635,0.006781,347.41,8019.1,52.0,16.0,33.0,2.0,1.791,66.062,66.062
2.650,2800,0.0070,0.011149,0.016418,144.41,3018.3,52.0,17.0,32.0,2.0,4.114,37.181,37.181
2.650,2800,0.0080,0.010083,0.014832,159.68,3387.5,52.0,16.0,33.0,2.0,1.791,29.422,29.422
2.650,2800,0.0085,0.009635,0.014168,167.09,3566.7,52.0,17.0,32.0,2.0,4.114,25.648,25.648
2.650,2800,0.0090,0.009234,0.013572,174.36,3742.5,52.0,16.0,31.0,2.0,3.292,21.943,21.943
2.650,2800,0.0095,0.008875,0.013040,181.45,3914.7,52.0,16.0,32.0,2.0,2.542,18.306,18.306
2.650,2800,0.0100,0.008545,0.012551,188.36,4083.6,50.0,16.0,33.0,2.0,2.354,14.736,14.736
2.650,2800,0.0110,0.007974,0.011705,201.91,4411.2,51.0,17.0,33.0,2.0,3.441,10.446,10.446
2.650,2800,0.0120,0.007498,0.011001,214.73,4725.8,51.0,16.0,33.0,2.0,1.869,8.101,8.101
2.650,2800,0.0130,0.007091,0.010400,227.00,5027.6,51.0,17.0,34.0,2.0,3.711,10.016,10.016
2.650,2800,0.0140,0.006740,0.009882,238.82,5317.1,51.0,17.0,34.0,2.0,3.711,12.771,12.771
2.650,2800,0.0150,0.006439,0.009437,250.05,5594.6,51.0,17.0,33.0,2.0,3.441,17.457,17.457
2.650,3000,0.0070,0.010611,0.015618,151.68,3195.9,50.0,17.0,34.0,2.0,4.196,33.670,33.670
2.650,3000,0.0080,0.009589,0.014098,167.95,3587.4,51.0,17.0,32.0,2.0,4.192,25.468,25.468
2.650,3000,0.0085,0.009160,0.013462,175.77,3777.5,53.0,17.0,31.0,2.0,5.349,21.477,21.477
2.650,3000,0.0090,0.008776,0.012893,183.45,3964.0,52.0,16.0,32.0,2.0,2.542,17.559,17.559
2.650,3000,0.0095,0.008431,0.012382,190.95,4146.8,52.0,17.0,32.0,2.0,4.114,13.712,13.712
2.650,3000,0.0100,0.008116,0.011916,198.36,4326.0,52.0,15.0,32.0,2.0,3.800,10.908,10.908
2.650,3000,0.0110,0.007572,0.011110,212.59,4673.8,52.0,17.0,33.0,2.0,3.364,7.222,7.222
2.650,3000,0.0120,0.007114,0.010434,226.32,5007.9,52.0,16.0,33.0,2.0,1.791,9.271,9.271
2.650,3000,0.0130,0.006726,0.009861,239.36,5328.6,50.0,17.0,34.0,2.0,4.196,12.262,12.262
2.650,3000,0.0140,0.006391,0.009367,251.91,5636.3,51.0,17.0,34.0,2.0,3.711,17.849,17.849
2.650,3000,0.0150,0.006103,0.008942,263.82,5931.4,52.0,17.0,34.0,2.0,3.634,24.153,24.153
2.650,3200,0.0070,0.010134,0.014909,158.86,3369.6,53.0,16.0,32.0,2.0,3.026,30.238,30.238
2.650,3200,0.0080,0.009150,0.013448,175.95,3783.0,53.0,15.0,30.0,2.0,5.785,21.601,21.601
2.650,3200,0.0085,0.008741,0.012842,184.18,3983.8,51.0,16.0,31.0,2.0,3.370,17.398,17.398
2.650,3200,0.0090,0.008370,0.012291,192.32,4180.7,50.0,16.0,33.0,2.0,2.354,13.271,13.271
2.650,3200,0.0095,0.008037,0.011799,200.32,4373.8,53.0,17.0,33.0,2.0,3.848,9.898,9.898
2.650,3200,0.0100,0.007735,0.011352,208.14,4563.2,51.0,16.0,34.0,2.0,2.139,7.749,7.749
2.650,3200,0.0110,0.007215,0.010584,223.18,4930.9,51.0,17.0,33.0,1.0,15.346,8.241,15.346
2.650,3200,0.0120,0.006775,0.009933,237.64,5284.2,49.0,17.0,34.0,2.0,4.681,11.037,11.037
2.650,3200,0.0130,0.006403,0.009384,251.45,5623.4,50.0,17.0,34.0,2.0,4.196,17.141,17.141
2.650,3200,0.0140,0.006085,0.008915,264.59,5949.0,50.0,17.0,34.0,2.0,4.196,24.054,24.054
2.650,3200,0.0150,0.005808,0.008507,277.27,6261.4,53.0,16.0,32.0,2.0,3.026,30.707,30.707
2.650,3400,0.0070,0.009709,0.014278,165.82,3539.5,52.0,16.0,31.0,2.0,3.292,26.879,26.879
2.650,3400,0.0080,0.008759,0.012867,183.82,3974.4,51.0,16.0,33.0,2.0,1.869,17.817,17.817
2.650,3400,0.0085,0.008364,0.012282,192.45,4185.7,50.0,18.0,34.0,2.0,5.768,13.406,13.406
2.650,3400,0.0090,0.008008,0.011756,201.00,4392.9,53.0,17.0,33.0,2.0,3.848,9.228,9.228
2.650,3400,0.0095,0.007688,0.011283,209.41,4596.2,52.0,17.0,32.0,2.0,4.114,7.113,7.113
2.650,3400,0.0100,0.007401,0.010858,217.59,4795.5,51.0,17.0,34.0,2.0,3.711,6.936,6.936
